ID,Name,Code,Price,Market Cap,Supply,Logo
25,OKB,OKB,$43.15,"$2,589,124,543","60,000,000 OKB",https://s2.coinmarketcap.com/static/img/coins/64x64/3897.png
26,Cosmos,ATOM,$6.93,"$2,553,951,120","368,329,110 ATOM",https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png
27,Uniswap,UNI,$4.36,"$2,518,386,017","577,501,031 UNI",https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png
28,Ethereum Classic,ETC,$15.63,"$2,240,925,387","143,395,574 ETC",https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png
29,BUSD,BUSD,$1.00,"$2,214,816,143","2,213,836,281 BUSD",https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png
30,Hedera,HBAR,$0.0481,"$1,610,623,822","33,491,119,602 HBAR",https://s2.coinmarketcap.com/static/img/coins/64x64/4642.png
31,Filecoin,FIL,$3.40,"$1,550,167,247","455,305,162 FIL",https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png
32,Lido DAO,LDO,$1.57,"$1,401,480,113","890,273,863 LDO",https://s2.coinmarketcap.com/static/img/coins/64x64/8000.png
33,Internet Computer,ICP,$3.08,"$1,374,640,171","445,713,757 ICP",https://s2.coinmarketcap.com/static/img/coins/64x64/8916.png
34,Maker,MKR,"$1,407.10","$1,375,478,998","977,631 MKR",https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png
35,Cronos,CRO,$0.05035,"$1,272,235,636","25,263,013,692 CRO",https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png
36,Aptos,APT,$5.27,"$1,260,419,365","239,079,922 APT",https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png
37,Mantle,MNT,$0.3911,"$1,246,821,056","3,189,620,631 MNT",https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png
38,VeChain,VET,$0.01706,"$1,240,591,817","72,714,516,834 VET",https://s2.coinmarketcap.com/static/img/coins/64x64/3077.png
39,Optimism,OP,$1.28,"$1,131,612,555","880,444,572 OP",https://s2.coinmarketcap.com/static/img/coins/64x64/11840.png
40,Arbitrum,ARB,$0.8654,"$1,105,382,910","1,275,000,000 ARB",https://s2.coinmarketcap.com/static/img/coins/64x64/11841.png
41,NEAR Protocol,NEAR,$1.09,"$1,065,913,287","977,685,835 NEAR",https://s2.coinmarketcap.com/static/img/coins/64x64/6535.png
42,Quant,QNT,$88.23,"$1,065,238,959","12,072,738 QNT",https://s2.coinmarketcap.com/static/img/coins/64x64/3155.png
43,Aave,AAVE,$66.84,"$974,871,402","14,583,633 AAVE",https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png
44,The Graph,GRT,$0.08546,"$789,565,902","9,239,455,395 GRT",https://s2.coinmarketcap.com/static/img/coins/64x64/6719.png
